procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 0  0   3840 1718640 1009548 5937200    0    0     0     0 54828 78501  1  2 97  0  0
 1  0   3840 1718304 1009548 5937204    0    0     0     8 55062 78634  1  2 97  0  0
 0  0   3840 1557328 1009552 5937208    0    0     0    88 55378 78788  5  4 91  0  0
 1  0   3840 1556656 1009552 5937356    0    0     0   440 54776 78015  1  2 97  0  0
 2  0   3840 1562588 1009552 5937684    0    0     0   196 54549 77456  1  2 97  0  0
 3  0   3840 1556092 1009560 5937356    0    0     0    84 55098 79312  4  4 92  0  0
 0  0   3840 1565096 1009560 5937380    0    0     0    16 55514 79809  2  3 96  0  0
 3  0   3840 1570004 1009560 5937388    0    0     0     0 54514 77398  1  2 97  0  0
 2  0   3840 1640236 1009560 5937276    0    0     0   528 55784 80006  5  4 91  0  0
 0  0   3840 1645204 1009560 5937284    0    0     0   568 55280 79153  1  2 97  0  0
 4  0   3840 1658416 1009568 5937284    0    0     0   284 54591 77406  1  2 97  0  0
 1  0   3840 1659236 1009568 5939240    0    0     0     8 57651 79063  3  3 95  0  0
 1  0   3840 1667600 1009568 5939408    0    0     0     0 53360 78661  2  3 95  0  0
 1  0   3840 1680244 1009568 5937468    0    0     0     0 54646 78303  1  2 96  0  0
 1  0   3840 1677612 1009568 5937240    0    0     0     0 55323 79608  1  3 96  0  0
 2  0   3840 1676572 1009576 5937236    0    0     0   200 54470 77789  1  2 96  1  0
 1  0   3840 1687852 1009576 5937252    0    0     0   432 54854 79166  1  2 97  0  0
 0  0   3840 1688444 1009576 5937260    0    0     0     0 54798 78466  1  2 97  0  0
 1  0   3840 1694008 1009576 5937264    0    0     0     0 54886 78449  1  2 97  0  0
 1  0   3840 1698036 1009576 5937272    0    0     0     0 55039 78954  1  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 0  0   3840 1693272 1009580 5937276    0    0     0   176 55401 79281  2  3 95  0  0
 0  0   3840 1712948 1009580 5937284    0    0     0     8 54808 78237  1  2 97  0  0
 0  0   3840 1705692 1009580 5937288    0    0     0     0 54369 77587  1  2 97  0  0
 0  0   3840 1708676 1009580 5937292    0    0     0     0 55149 79130  1  2 97  0  0
 1  0   3840 1706528 1009580 5937304    0    0     0     4 55439 79406  1  2 97  0  0
 1  0   3840 1565732 1009584 5937628    0    0     0  3728 55017 79114  4  3 93  0  0
 0  0   3840 1563196 1009588 5937316    0    0     0    64 54815 78430  2  3 95  0  0
 0  0   3840 1563304 1009588 5937324    0    0     0     0 54455 78097  1  2 97  0  0
 1  0   3840 1562304 1009588 5937328    0    0     0     0 55255 79168  1  2 97  0  0
 2  0   3840 1569520 1009588 5937336    0    0     0    20 54827 78486  1  2 97  0  0
 4  0   3840 1545344 1009588 5937340    0    0     0   368 57193 79243  6  4 90  0  0
 1  0   3840 1554104 1009588 5937344    0    0     0   228 54470 77873  1  2 97  0  0
 2  0   3840 1553216 1009588 5937352    0    0     0   144 55105 79096  1  2 97  0  0
 1  0   3840 1559532 1009588 5937360    0    0     0     0 54970 78321  1  2 97  0  0
 0  0   3840 1554500 1009588 5937368    0    0     8     0 54629 77814  1  2 97  0  0
 2  0   3840 1568536 1009596 5937416    0    0     0   172 55642 79935  5  4 91  0  0
 1  0   3840 1569240 1009596 5937708    0    0     0    12 55047 78689  1  2 97  0  0
 1  0   3840 1565560 1009596 5937388    0    0     0   196 53012 77833  2  3 95  0  0
 0  0   3840 1560780 1009596 5938108    0    0     0     0 60199 88323  2  3 96  0  0
 0  0   3840 1558684 1009596 5938232    0    0     0    12 19224 6896  0  1 99  0  0
 0  0   3840 1556208 1009604 5938232    0    0     0   168 19024 6091  1  1 98  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 0  0   3840 1553964 1009604 5938132    0    0     0     8 19421 7619  1  1 99  0  0
 0  0   3840 1553516 1009604 5938100    0    0     0   180 19189 6428  0  1 99  0  0
 0  0   3840 1545728 1009604 5938208    0    0    16     0 19551 6763  4  2 94  0  0
 0  0   3840 1546844 1009604 5938232    0    0     0     0 19116 6183  0  0 99  0  0
 0  0   3840 1542712 1009612 5937256    0    0     0   100 19774 7567  1  1 98  0  0
 0  0   3840 1542536 1009612 5937344    0    0     0   300 18751 5831  1  1 99  0  0
