sec  cycles      instructions  cache-misses  branch-instructions  branch-misses  L1I_miss  L1D_miss   iTLB_miss  dTLB_miss  elapsed_ms
28   176693121   58383198      2843557       14168056             1276718        141068    1007852    36669      25861      100
28   338630476   155474881     2709655       23857661             2090845        197835    1590339    134570     118228     100
28   3082793931  2314766517    22953003      397077365            10356595       643869    27263635   407802     2309049    100
28   426912554   101998469     3834890       20668464             1563050        162775    972855     37992      31418      100
28   310835756   142299331     6222826       31428255             1997798        313519    3265768    157053     180285     100
28   332426835   324197310     6927851       58425667             2084958        308914    3023725    113244     81708      100
28   257388545   159527803     4020881       28509139             1354453        147826    1922142    132687     116423     100
29   435705082   239691679     6916192       43198200             2513850        292148    5139238    209429     440977     100
29   411864954   122175881     4418305       23090553             2381790        240865    2000381    105359     131464     100
29   134774571   29098934      958799        7707149              938193         108040    1128809    62131      84790      100
29   159866422   56213919      1541520       13327844             1065770        100188    874418     34873      42993      100
29   167534651   42158572      2321844       15330924             993866         88437     810253     30642      26970      100
29   369244984   130875840     5907403       23029538             1879940        234831    1496531    108988     124502     100
29   480495029   266508054     9861895       57541194             2849618        366382    7060247    221580     201255     100
29   544438541   358363985     7919031       67083532             2889884        338088    2849130    195114     200795     100
29   570466435   548497183     10886075      88662151             3424423        496665    4679167    269860     237094     100
29   192276774   131984266     4656742       27185968             2077731        257869    2927063    187625     198642     100
30   289420724   277330052     4953183       62830874             1740439        284199    3763119    162105     151636     100
30   144788039   44937492      2357944       9826403              1018058        116231    837332     47397      45208      100
30   147693292   40908132      1136371       9389643              842750         63519     675517     42144      63083      100
30   206276703   114215451     4163350       22748715             1353826        133652    1329246    33825      27273      100
30   507563733   500195523     7891137       39134002             2834242        214480    5086165    110061     170662     100
30   204772178   68545825      1148705       11572065             1532126        147791    940408     42863      44956      100
30   413243013   124686747     5478786       29374402             2072698        180078    1818301    36381      22121      100
30   369592433   114948069     3128571       22322393             2320960        195617    2591355    102240     122874     100
30   233694969   131114818     5100773       46530161             3447742        327847    2692407    127222     124328     100
30   152142550   53720450      3021538       15475909             1284171        170013    2423880    157257     198780     100
31   603730770   662786809     8943753       115274582            2894363        372868    4502362    185210     282872     100
31   891744723   301777180     10160865      77125921             4365958        417145    10079510   158021     312861     100
31   126958885   32386984      1184249       10990372             922646         130838    1133526    82723      81972      100
31   173931258   71333784      1551195       16535157             1360490        100405    884524     33938      34293      100
31   165749188   60659741      2088348       14348908             1669782        134826    1162915    32354      26723      100
31   393242030   218041550     5588526       22882110             1833630        176960    963831     43605      61684      100
31   354308417   256854039     7466808       49856840             1981904        206290    1701374    53452      37769      100
31   310889509   297965518     6045202       72517695             2037037        250460    2015618    107918     82925      100
31   1372368194  1534175631    17601520      383589215            13233288       609809    28011440   370870     2824420    100
31   270177505   42273850      1549975       11926766             1278516        146684    1929872    159042     163183     100
32   196698614   64918062      2454337       16097989             1313176        128976    1243887    87389      94383      100
32   293057650   257572786     3250399       34012644             2114941        135622    1154701    49162      64566      100
32   3257207124  2438426146    43839790      530091140            11316031       2126860   53269724   2481261    2240565    100
32   6075657556  5096940663    44526709      1192543129           13569305       2596302   100906282  4156903    3850910    100
32   5836517983  4100822690    59231074      908738765            17354484       2895067   88122005   4352307    3974358    100
32   2879216960  4017088262    16456964      647719525            8081085        355971    32143129   547899     1243456    100
32   1205997382  2861737427    8187637       448645258            5869676        263382    12145317   241426     690364     100
32   1109223190  2968371114    7130592       510206936            8732544        191175    21726824   106909     1355569    100
32   339504386   201236334     4406794       56990114             2534746        479419    3277484    76321      95002      100
32   147203256   52793859      2448900       21297150             1589135        109464    1667854    37123      58989      100
33   226556015   75742281      2976803       16548875             1366479        144011    1460778    52729      63939      100
33   356308863   222743580     5106813       47551655             1818835        190867    1974454    55516      52028      100
33   292922272   433128646     6259144       66330375             3036768        365826    5161063    149365     184081     100
33   185813311   121340073     5012521       18432507             1818245        247250    2810427    141213     203073     100
33   168210328   83773969      3077543       26475249             2983505        250745    2071442    90262      87607      100
33   183450312   48291719      2091842       12900061             1245921        144997    1636631    102866     126944     100
33   156809080   47580753      1374356       10058531             1401503        154922    1706339    101756     80745      100
33   213835750   69547357      1640686       12016713             826864         75429     596093     33867      44304      100
33   280463926   107332361     1681965       18923160             1416709        120621    1084358    42647      42184      100
33   300358916   113205858     2393261       25135892             1842674        198210    2008477    96815      106188     100
34   333660344   194364455     4049355       25918345             1998225        113545    825206     48990      48747      100
