Linux 6.8.0-59-generic (superlzx) 	2025年05月16日 	_x86_64_	(16 CPU)

15时39分37秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
15时43分57秒     all      1.56      0.00      2.67      5.79      0.00     89.99
15时43分58秒     all      1.24      0.00      3.39      5.93      0.00     89.45
15时43分59秒     all      1.04      0.00      2.93      5.87      0.00     90.16
15时44分00秒     all      1.24      0.00      4.05      5.22      0.00     89.49
15时44分01秒     all      1.17      0.00      3.26      5.86      0.00     89.71
15时44分02秒     all      1.30      0.00      2.93      5.61      0.00     90.16
15时44分03秒     all      1.24      0.00      3.45      5.66      0.00     89.66
15时44分04秒     all      1.04      0.00      3.45      5.79      0.00     89.73
15时44分05秒     all      0.98      0.00      2.89      5.71      0.00     90.42
15时44分06秒     all      1.82      0.00      2.99      5.78      0.00     89.41
15时44分07秒     all      2.80      0.00      3.26      5.79      0.00     88.15
15时44分08秒     all      1.10      0.00      3.31      5.58      0.00     90.00
15时44分09秒     all      1.18      0.00      2.94      5.82      0.00     90.07
15时44分10秒     all      1.11      0.00      3.00      5.81      0.00     90.08
15时44分11秒     all      1.63      0.00      2.80      5.74      0.00     89.82
15时44分12秒     all      1.04      0.00      4.42      5.46      0.00     89.08
15时44分13秒     all      0.92      0.00      3.01      5.75      0.00     90.33
15时44分14秒     all      1.24      0.00      3.01      5.49      0.00     90.26
15时44分15秒     all      1.18      0.00      2.74      6.07      0.00     90.01
15时44分16秒     all      1.63      0.00      2.80      5.66      0.00     89.92
15时44分17秒     all      1.04      0.00      3.45      5.73      0.00     89.78
15时44分18秒     all      1.17      0.00      3.32      5.66      0.00     89.84
15时44分19秒     all      1.11      0.00      2.88      5.95      0.00     90.07
15时44分20秒     all      1.44      0.00      2.94      5.61      0.00     90.02
15时44分21秒     all      1.36      0.00      3.38      5.65      0.00     89.61
15时44分22秒     all      1.11      0.00      3.12      5.72      0.00     90.05
15时44分23秒     all      1.17      0.00      3.78      5.35      0.00     89.69
15时44分24秒     all      1.37      0.00      3.06      5.73      0.00     89.85
15时44分25秒     all      1.18      0.00      3.07      5.81      0.00     89.94
15时44分26秒     all      4.82      0.00      4.50      5.47      0.00     85.21
15时44分27秒     all      2.54      0.00      3.71      5.67      0.00     88.08
15时44分28秒     all      4.58      0.00      4.32      5.50      0.00     85.60
15时44分29秒     all      1.94      0.00      3.18      5.83      0.00     89.05
15时44分30秒     all      1.30      0.00      3.06      5.73      0.00     89.90
15时44分31秒     all      1.17      0.00      3.45      5.79      0.00     89.60
15时44分32秒     all      0.98      0.00      3.20      5.75      0.00     90.07
15时44分33秒     all      1.24      0.00      2.93      5.73      0.00     90.10
15时44分34秒     all      1.44      0.00      3.85      5.09      0.00     89.61
15时44分35秒     all      1.43      0.00      3.37      5.58      0.00     89.62
15时44分36秒     all      1.05      0.00      2.88      5.88      0.00     90.20
15时44分37秒     all      1.05      0.00      3.21      5.82      0.00     89.92
15时44分38秒     all      3.19      0.00      3.52      0.72      0.00     92.58
15时44分39秒     all      6.09      0.00      4.91      0.00      0.00     89.01
15时44分40秒     all      1.11      0.00      2.73      0.00      0.00     96.16
15时44分41秒     all      1.49      0.00      2.14      0.06      0.00     96.30
15时44分42秒     all      1.04      0.00      2.47      0.00      0.00     96.50
15时44分43秒     all      0.91      0.00      2.01      0.06      0.00     97.01
15时44分44秒     all      2.53      0.00      2.40      0.00      0.00     95.07
